235   101   91   red
204   69   59   red
179   59   50   red
112   41   36   red
135   23   15   red
148   30   15   red
173   38   52   red
214   41   58   red
89   20   15   red
168   56   61   red
143   54   59   red
163   100   91   red
99   5   2   red
186   51   47   red
130   53   58   red
39   91   36   green
19   150   17   green
70   184   68   green
45   117   43   green
73   122   72   green
47   122   28   green
79   150   62   green
10   66   11   green
41   115   43   green
27   148   45   green
35   194   75   green
59   122   82   green
76   158   55   green
7   43   6   green
105   150   56   green
18   33   201   blue
42   44   150   blue
70   97   176   blue
44   80   120   blue
31   34   194   blue
62   50   156   blue
62   108   163   blue
18   85   140   blue
15   24   61   blue
4   38   74   blue
48   69   207   blue
70   91   179   blue
33   29   168   blue
8   22   99   blue
61   62   112   blue
161   111   45   orange
166   87   8   orange
184   103   46   orange
84   56   19   orange
66   46   15   orange
150   98   48   orange
168   113   71   orange
173   108   38   orange
148   100   24   orange
138   100   58   orange
204   106   45   orange
173   92   57   orange
133   62   27   orange
161   80   31   orange
163   113   91   orange
171   133   27   yellow
199   167   40   yellow
150   132   14   yellow
166   143   63   yellow
107   88   35   yellow
105   87   12   yellow
156   149   31   yellow
204   192   86   yellow
156   138   76   yellow
196   157   14   yellow
224   209   38   yellow
176   165   9   yellow
214   182   24   yellow
186   170   65   yellow
79   64   11   yellow
103   39   186   purple
97   53   140   purple
138   61   186   purple
98   75   122   purple
104   10   148   purple
173   46   232   purple
154   98   227   purple
114   73   184   purple
110   81   130   purple
146   103   166   purple
116   64   194   purple
91   12   176   purple
66   9   105   purple
47   19   69   purple
48   28   59   purple
